slug,Title,Category (Main),Subcategory
federal-income-tax-calculator-married-filing-jointly,Federal Income Tax Calculator (Married Filing Jointly),Finance,Taxes
federal-income-tax-calculator-head-of-household,Federal Income Tax Calculator (Head of Household),Finance,Taxes
w4-withholding-calculator,W-4 Withholding Calculator,Finance,Taxes
paycheck-calculator,Paycheck Calculator,Finance,Taxes
self-employment-tax-calculator,Self-Employment Tax Calculator,Lifestyle & Everyday,Miscellaneous
short-term-capital-gains-tax-calculator,Capital Gains Tax Calculator (Short-Term),Finance,Taxes
long-term-capital-gains-tax-calculator,Capital Gains Tax Calculator (Long-Term),Finance,Taxes
amt-calculator,Alternative Minimum Tax (AMT) Calculator,Finance,Taxes
eitc-calculator,Earned Income Tax Credit (EITC) Calculator,Finance,Taxes
child-tax-credit-calculator,Child Tax Credit Calculator,Finance,Taxes
social-security-tax-calculator,Social Security Tax Calculator,Finance,Taxes
medicare-tax-calculator,Medicare Tax Calculator,Finance,Taxes
estate-tax-calculator,Estate Tax Calculator,Finance,Taxes
gift-tax-calculator,Gift Tax Calculator,Finance,Taxes
alabama-income-tax-calculator,Alabama State Income Tax Calculator,Finance,Taxes
alaska-income-tax-calculator,Alaska State Income Tax Calculator,Finance,Taxes
arizona-income-tax-calculator,Arizona State Income Tax Calculator,Finance,Taxes
arkansas-income-tax-calculator,Arkansas State Income Tax Calculator,Finance,Taxes
california-income-tax-calculator,California State Income Tax Calculator,Finance,Taxes
colorado-income-tax-calculator,Colorado State Income Tax Calculator,Finance,Taxes
connecticut-income-tax-calculator,Connecticut State Income Tax Calculator,Finance,Taxes
delaware-income-tax-calculator,Delaware State Income Tax Calculator,Finance,Taxes
florida-income-tax-calculator,Florida State Income Tax Calculator,Finance,Taxes
georgia-income-tax-calculator,Georgia State Income Tax Calculator,Finance,Taxes
hawaii-income-tax-calculator,Hawaii State Income Tax Calculator,Finance,Taxes
idaho-income-tax-calculator,Idaho State Income Tax Calculator,Finance,Taxes
illinois-income-tax-calculator,Illinois State Income Tax Calculator,Finance,Taxes
indiana-income-tax-calculator,Indiana State Income Tax Calculator,Finance,Taxes
iowa-income-tax-calculator,Iowa State Income Tax Calculator,Finance,Taxes
kansas-income-tax-calculator,Kansas State Income Tax Calculator,Finance,Taxes
kentucky-income-tax-calculator,Kentucky State Income Tax Calculator,Finance,Taxes
louisiana-income-tax-calculator,Louisiana State Income Tax Calculator,Finance,Taxes
maine-income-tax-calculator,Maine State Income Tax Calculator,Finance,Taxes
maryland-income-tax-calculator,Maryland State Income Tax Calculator,Finance,Taxes
massachusetts-income-tax-calculator,Massachusetts State Income Tax Calculator,Finance,Taxes
michigan-income-tax-calculator,Michigan State Income Tax Calculator,Finance,Taxes
minnesota-income-tax-calculator,Minnesota State Income Tax Calculator,Finance,Taxes
mississippi-income-tax-calculator,Mississippi State Income Tax Calculator,Finance,Taxes
missouri-income-tax-calculator,Missouri State Income Tax Calculator,Finance,Taxes
montana-income-tax-calculator,Montana State Income Tax Calculator,Finance,Taxes
nebraska-income-tax-calculator,Nebraska State Income Tax Calculator,Finance,Taxes
nevada-income-tax-calculator,Nevada State Income Tax Calculator,Finance,Taxes
new-hampshire-income-tax-calculator,New Hampshire State Income Tax Calculator,Finance,Taxes
new-jersey-income-tax-calculator,New Jersey State Income Tax Calculator,Finance,Taxes
new-mexico-income-tax-calculator,New Mexico State Income Tax Calculator,Finance,Taxes
new-york-income-tax-calculator,New York State Income Tax Calculator,Finance,Taxes
north-carolina-income-tax-calculator,North Carolina State Income Tax Calculator,Finance,Taxes
north-dakota-income-tax-calculator,North Dakota State Income Tax Calculator,Finance,Taxes
ohio-income-tax-calculator,Ohio State Income Tax Calculator,Finance,Taxes
oklahoma-income-tax-calculator,Oklahoma State Income Tax Calculator,Finance,Taxes
oregon-income-tax-calculator,Oregon State Income Tax Calculator,Finance,Taxes
pennsylvania-income-tax-calculator,Pennsylvania State Income Tax Calculator,Finance,Taxes
rhode-island-income-tax-calculator,Rhode Island State Income Tax Calculator,Finance,Taxes
south-carolina-income-tax-calculator,South Carolina State Income Tax Calculator,Finance,Taxes
south-dakota-income-tax-calculator,South Dakota State Income Tax Calculator,Finance,Taxes
tennessee-income-tax-calculator,Tennessee State Income Tax Calculator,Finance,Taxes
texas-income-tax-calculator,Texas State Income Tax Calculator,Finance,Taxes
utah-income-tax-calculator,Utah State Income Tax Calculator,Finance,Taxes
vermont-income-tax-calculator,Vermont State Income Tax Calculator,Finance,Taxes
virginia-income-tax-calculator,Virginia State Income Tax Calculator,Finance,Taxes
washington-income-tax-calculator,Washington State Income Tax Calculator,Finance,Taxes
west-virginia-income-tax-calculator,West Virginia State Income Tax Calculator,Finance,Taxes
wisconsin-income-tax-calculator,Wisconsin State Income Tax Calculator,Finance,Taxes
wyoming-income-tax-calculator,Wyoming State Income Tax Calculator,Finance,Taxes
dc-income-tax-calculator,District of Columbia Income Tax Calculator,Finance,Taxes
uk-tax-calculator,UK Income Tax Calculator (England & NI),Finance,Taxes
scotland-tax-calculator,UK Income Tax Calculator (Scotland),Finance,Taxes
wales-tax-calculator,UK Income Tax Calculator (Wales),Finance,Taxes
paye-calculator-uk,UK PAYE Calculator,Lifestyle & Everyday,Miscellaneous
national-insurance-calculator,UK National Insurance Calculator,Lifestyle & Everyday,Miscellaneous
capital-gains-tax-calculator-uk,UK Capital Gains Tax (CGT) Calculator,Finance,Taxes
vat-calculator-uk,UK VAT Calculator,Finance,Taxes
stamp-duty-calculator,UK Stamp Duty Land Tax (SDLT) Calculator,Lifestyle & Everyday,Miscellaneous
council-tax-calculator,UK Council Tax Calculator,Lifestyle & Everyday,Miscellaneous
german-income-tax-calculator,German Income Tax Calculator,Finance,Taxes
german-vat-calculator,German VAT (Umsatzsteuer) Calculator,Finance,Taxes
german-capital-gains-tax-calculator,German Capital Gains (Abgeltungsteuer) Calculator,Finance,Taxes
german-trade-tax-calculator,German Trade Tax (Gewerbesteuer) Calculator,Lifestyle & Everyday,Miscellaneous
church-tax-calculator-germany,German Church Tax (Kirchensteuer) Calculator,Lifestyle & Everyday,Miscellaneous
solidarity-surcharge-calculator,German Solidarity Surcharge (Solidaritätszuschlag) Calculator,Lifestyle & Everyday,Miscellaneous
bmi-calculator,BMI Calculator,Health & Fitness,Health Metrics
body-fat-calculator,Body Fat Calculator,Health & Fitness,Diet & Nutrition
ideal-weight-calculator,Ideal Weight Calculator,Lifestyle & Everyday,Miscellaneous
bmr-calculator,BMR (Basal Metabolic Rate) Calculator,Health & Fitness,Health Metrics
tdee-calculator,TDEE (Total Daily Energy Expenditure) Calculator,Lifestyle & Everyday,Miscellaneous
lean-body-mass-calculator,Lean Body Mass (LBM) Calculator,Lifestyle & Everyday,Miscellaneous
bsa-calculator,Body Surface Area (BSA) Calculator,Math & Conversions,Geometry
waist-to-hip-ratio-calculator,Waist-to-Hip Ratio Calculator,Math & Conversions,Core Math & Algebra
body-shape-calculator,Body Shape Calculator (Female),Lifestyle & Everyday,Miscellaneous
calorie-calculator,Calorie Calculator,Health & Fitness,Diet & Nutrition
macro-calculator,Macro Calculator,Health & Fitness,Diet & Nutrition
protein-calculator,Protein Intake Calculator,Health & Fitness,Diet & Nutrition
carbohydrate-calculator,Carbohydrate Intake Calculator,Lifestyle & Everyday,Miscellaneous
fat-intake-calculator,Fat Intake Calculator,Health & Fitness,Diet & Nutrition
keto-calculator,Keto Macro Calculator,Health & Fitness,Diet & Nutrition
water-intake-calculator,Water Intake Calculator,Health & Fitness,Diet & Nutrition
added-sugar-calculator,Added Sugar Calculator,Lifestyle & Everyday,Miscellaneous
fiber-calculator,Fiber Intake Calculator,Lifestyle & Everyday,Miscellaneous
net-carbs-calculator,Net Carbs Calculator,Health & Fitness,Diet & Nutrition
calories-burned-calculator,Calories Burned Calculator,Lifestyle & Everyday,Miscellaneous
pace-calculator,Pace Calculator,Health & Fitness,Fitness
target-heart-rate-calculator,Target Heart Rate Calculator,Health & Fitness,Fitness
one-rep-max-calculator,One Rep Max (1RM) Calculator,Health & Fitness,Fitness
vo2-max-calculator,VO2 Max Calculator,Health & Fitness,Fitness
wilks-score-calculator,Wilks Score Calculator,Lifestyle & Everyday,Miscellaneous
running-time-predictor,Running Time Predictor,Health & Fitness,Fitness
steps-to-miles-calculator,Steps to Miles Calculator,Health & Fitness,Fitness
met-minutes-calculator,MET Minutes Calculator,Lifestyle & Everyday,Miscellaneous
hiking-time-calculator,Hiking Time Calculator,Lifestyle & Everyday,Time & Date
due-date-calculator,Due Date Calculator,Health & Fitness,Health Metrics
ovulation-calculator,Ovulation Calculator,Lifestyle & Everyday,Miscellaneous
conception-date-calculator,Pregnancy Conception Date Calculator,Health & Fitness,Health Metrics
pregnancy-weight-gain-calculator,Pregnancy Weight Gain Calculator,Health & Fitness,Health Metrics
period-calculator,Period Calculator,Lifestyle & Everyday,Miscellaneous
gfr-calculator,GFR (Glomerular Filtration Rate) Calculator,Lifestyle & Everyday,Miscellaneous
bac-calculator,Blood Alcohol Content (BAC) Calculator,Lifestyle & Everyday,Miscellaneous
basic-calculator,Basic Calculator,Lifestyle & Everyday,Miscellaneous
fraction,Fraction Calculator,Lifestyle & Everyday,Miscellaneous
percentage-calculator,Percentage Calculator,Math & Conversions,Core Math & Algebra
long-division-calculator,Long Division Calculator,Lifestyle & Everyday,Miscellaneous
mixed-number-calculator,Mixed Number Calculator,Lifestyle & Everyday,Miscellaneous
ratio,Ratio Calculator,Math & Conversions,Core Math & Algebra
rounding-calculator,Rounding Calculator,Lifestyle & Everyday,Miscellaneous
gcf-calculator,Greatest Common Factor (GCF) Calculator,Math & Conversions,Core Math & Algebra
lcm-calculator,Least Common Multiple (LCM) Calculator,Math & Conversions,Core Math & Algebra
prime-factorization-calculator,Prime Factorization Calculator,Math & Conversions,Core Math & Algebra
quadratic-formula-calculator,Quadratic Formula Calculator,Math & Conversions,Core Math & Algebra
slope-calculator,Slope Calculator,Lifestyle & Everyday,Miscellaneous
equation-solver,Equation Solver,Math & Conversions,Core Math & Algebra
factoring-calculator,Factoring Calculator,Lifestyle & Everyday,Miscellaneous
exponent-calculator,Exponent Calculator,Math & Conversions,Core Math & Algebra
log-calculator,Logarithm (Log) Calculator,Math & Conversions,Core Math & Algebra
root-calculator,Radical (Root) Calculator,Lifestyle & Everyday,Miscellaneous
matrix-calculator,Matrix Calculator,Lifestyle & Everyday,Miscellaneous
foil-calculator,FOIL Method Calculator,Lifestyle & Everyday,Miscellaneous
system-of-equations-calculator,System of Equations Calculator,Lifestyle & Everyday,Miscellaneous
area-calculator,Area Calculator,Math & Conversions,Geometry
volume-calculator,Volume Calculator,Math & Conversions,Geometry
pythagorean-theorem-calculator,Pythagorean Theorem Calculator,Lifestyle & Everyday,Miscellaneous
triangle-calculator,Triangle Calculator,Math & Conversions,Geometry
circle-calculator,Circle Calculator,Math & Conversions,Geometry
distance-calculator,Distance Calculator,Lifestyle & Everyday,Miscellaneous
surface-area-calculator,Surface Area Calculator,Math & Conversions,Geometry
right-triangle-calculator,Right Triangle Calculator,Math & Conversions,Geometry
midpoint-calculator,Midpoint Calculator,Lifestyle & Everyday,Miscellaneous
cone-volume-calculator,Cone Volume Calculator,Math & Conversions,Geometry
cylinder-volume-calculator,Cylinder Volume Calculator,Math & Conversions,Geometry
sphere-volume-calculator,Sphere Volume Calculator,Math & Conversions,Geometry
rectangle-area-calculator,Rectangle Area Calculator,Math & Conversions,Geometry
standard-deviation-calculator,Standard Deviation Calculator,Lifestyle & Everyday,Miscellaneous
mean-median-mode-calculator,"Mean, Median, Mode, Range Calculator",Math & Conversions,Core Math & Algebra
probability-calculator,Probability Calculator,Math & Conversions,Core Math & Algebra
p-value-calculator,P-Value Calculator,Lifestyle & Everyday,Miscellaneous
z-score-calculator,Z-Score Calculator,Lifestyle & Everyday,Miscellaneous
confidence-interval-calculator,Confidence Interval Calculator,Lifestyle & Everyday,Miscellaneous
sample-size-calculator,Sample Size Calculator,Lifestyle & Everyday,Miscellaneous
permutation-and-combination-calculator,Permutation and Combination Calculator,Math & Conversions,Core Math & Algebra
margin-of-error-calculator,Margin of Error Calculator,Finance,Investment
t-test-calculator,T-Test Calculator,Lifestyle & Everyday,Miscellaneous
binary-calculator,Binary Calculator,Lifestyle & Everyday,Miscellaneous
hex-calculator,Hexadecimal Calculator,Lifestyle & Everyday,Miscellaneous
roman-numeral-converter,Roman Numeral Converter,Math & Conversions,Measurement Unit Conversions
scientific-notation-calculator,Scientific Notation Calculator,Math & Conversions,Core Math & Algebra
significant-figures-calculator,Significant Figures (Sig Fig) Calculator,Math & Conversions,Core Math & Algebra
random-number-generator,Random Number Generator,Lifestyle & Everyday,Miscellaneous
number-sequence-calculator,Number Sequence Calculator,Lifestyle & Everyday,Miscellaneous
percent-error-calculator,Percent Error Calculator,Math & Conversions,Core Math & Algebra
gpa-calculator,GPA Calculator,Lifestyle & Everyday,Miscellaneous
final-grade-calculator,Final Grade Calculator,Lifestyle & Everyday,Miscellaneous
nec-conduit-fill-calculator,NEC Conduit Fill Calculator,Construction & DIY,Project Layout & Design
nec-voltage-drop-calculator,NEC Voltage Drop Calculator,Construction & DIY,Project Layout & Design
nec-ampacity-calculator,NEC Ampacity Calculator,Construction & DIY,Project Layout & Design
nec-box-fill-calculator,NEC Box Fill Calculator,Construction & DIY,Project Layout & Design
nec-dwelling-load-calculation,NEC Service Load Calculator (Dwelling),Construction & DIY,Project Layout & Design
nec-commercial-load-calculation,NEC Service Load Calculator (Non-Dwelling),Construction & DIY,Project Layout & Design
gec-sizing-calculator,NEC Grounding Electrode Conductor (GEC) Sizing Calculator,Construction & DIY,Project Layout & Design
egc-sizing-calculator,NEC Equipment Grounding Conductor (EGC) Sizing Calculator,Construction & DIY,Project Layout & Design
motor-fla-calculator,NEC Motor FLA/FLC Calculator,Construction & DIY,Project Layout & Design
transformer-ocpd-calculator,NEC Transformer Overcurrent Protection Calculator,Construction & DIY,Project Layout & Design
bs-7671-cable-sizing,BS 7671 Cable Sizing Calculator,Lifestyle & Everyday,Miscellaneous
bs-7671-voltage-drop,BS 7671 Voltage Drop Calculator,Construction & DIY,Project Layout & Design
zs-calculator,BS 7671 Earth Fault Loop Impedance (Zs) Calculator,Lifestyle & Everyday,Miscellaneous
adiabatic-equation-calculator,BS 7671 Adiabatic Equation Calculator,Math & Conversions,Core Math & Algebra
maximum-demand-calculator,BS 7671 Maximum Demand Calculator,Lifestyle & Everyday,Miscellaneous
ohm's-law-calculator,Ohm's Law Calculator,Lifestyle & Everyday,Miscellaneous
watts-to-amps-calculator,Watts to Amps Calculator,Lifestyle & Everyday,Miscellaneous
amps-to-watts-calculator,Amps to Watts Calculator,Lifestyle & Everyday,Miscellaneous
resistor-color-code-calculator,Resistor Color Code Calculator,Lifestyle & Everyday,Miscellaneous
series-parallel-resistor-calculator,Series and Parallel Resistor Calculator,Lifestyle & Everyday,Miscellaneous
asce-7-22-wind-load,ASCE 7-22 Wind Load Calculator (Main Wind-Force Resisting System),Construction & DIY,Project Layout & Design
asce-7-22-components-and-cladding,ASCE 7-22 Wind Load Calculator (Components & Cladding),Construction & DIY,Project Layout & Design
asce-7-22-snow-load,ASCE 7-22 Snow Load Calculator,Construction & DIY,Project Layout & Design
asce-7-22-seismic-design,ASCE 7-22 Seismic Design Calculator,Construction & DIY,Project Layout & Design
dead-load-calculator,ASCE 7-22 Dead Load Calculator,Construction & DIY,Project Layout & Design
live-load-calculator,ASCE 7-22 Live Load Calculator,Construction & DIY,Project Layout & Design
asce-7-load-combinations,ASCE 7-22 Load Combination Calculator (ASD & LRFD),Math & Conversions,Core Math & Algebra
asce-7-22-tornado-load,ASCE 7-22 Tornado Load Calculator,Construction & DIY,Project Layout & Design
concrete-beam-design-calculator,ACI 318 Concrete Beam Flexural Strength Calculator,Health & Fitness,Fitness
concrete-shear-design-calculator,ACI 318 Concrete Beam Shear Strength Calculator,Health & Fitness,Fitness
punching-shear-calculator,ACI 318 Concrete Slab Punching Shear Calculator,Construction & DIY,Materials Estimation
concrete-column-design-calculator,ACI 318 Concrete Column Design Calculator,Construction & DIY,Materials Estimation
development-length-calculator-tension,ACI 318 Reinforcement Development Length Calculator (Tension),Construction & DIY,Project Layout & Design
development-length-calculator-compression,ACI 318 Reinforcement Development Length Calculator (Compression),Construction & DIY,Project Layout & Design
concrete-footing-design-calculator,ACI 318 Concrete Footing Design Calculator,Construction & DIY,Materials Estimation
retaining-wall-design,ACI 318 Concrete Retaining Wall Calculator,Construction & DIY,Materials Estimation
wood-beam-design-calculator,AWC NDS Wood Beam Design Calculator (Bending & Shear),Construction & DIY,Project Layout & Design
wood-column-design-calculator,AWC NDS Wood Column Design Calculator,Construction & DIY,Project Layout & Design
wood-bolt-design-calculator,AWC NDS Wood Connection Calculator (Bolts),Lifestyle & Everyday,Miscellaneous
wood-nail-design-calculator,AWC NDS Wood Connection Calculator (Nails),Lifestyle & Everyday,Miscellaneous
eurocode-2-beam-design,Eurocode 2 Concrete Beam Flexural Design Calculator,Construction & DIY,Materials Estimation
eurocode-2-shear-design,Eurocode 2 Concrete Beam Shear Design Calculator,Construction & DIY,Materials Estimation
eurocode-2-punching-shear,Eurocode 2 Concrete Slab Punching Shear Calculator,Construction & DIY,Materials Estimation
eurocode-2-column-design,Eurocode 2 Concrete Column Design Calculator,Construction & DIY,Materials Estimation
eurocode-2-anchorage-length,Eurocode 2 Reinforcement Anchorage & Lap Length Calculator,Lifestyle & Everyday,Miscellaneous
eurocode-3-beam-design,Eurocode 3 Steel Beam Bending & Shear Resistance Calculator,Construction & DIY,Project Layout & Design
eurocode-3-column-design,Eurocode 3 Steel Column Compression & Buckling Calculator,Construction & DIY,Project Layout & Design
eurocode-3-bolted-connection,Eurocode 3 Bolted Connection Design Calculator,Lifestyle & Everyday,Miscellaneous
eurocode-5-timber-beam,Eurocode 5 Timber Beam Design Calculator,Construction & DIY,Project Layout & Design
eurocode-5-timber-column,Eurocode 5 Timber Column Design Calculator,Construction & DIY,Project Layout & Design
gear-ratio-calculator,Gear Ratio Calculator,Math & Conversions,Core Math & Algebra
torque-calculator,Torque Calculator,Lifestyle & Everyday,Automotive
horsepower-calculator,Horsepower Calculator,Math & Conversions,Core Math & Algebra
pulley-speed-calculator,Pulley Speed Calculator,Lifestyle & Everyday,Miscellaneous
spring-rate-calculator,Spring Rate Calculator,Lifestyle & Everyday,Miscellaneous
reynolds-number-calculator,Reynolds Number Calculator,Lifestyle & Everyday,Miscellaneous
bernoulli-equation-calculator,Bernoulli's Equation Calculator,Math & Conversions,Core Math & Algebra
heat-transfer-calculator,Heat Transfer Calculator,Lifestyle & Everyday,Miscellaneous
stress-and-strain-calculator,Stress and Strain Calculator,Lifestyle & Everyday,Miscellaneous
factor-of-safety-calculator,Factor of Safety Calculator,Math & Conversions,Core Math & Algebra
concrete-slab-calculator,Concrete Slab Volume Calculator,Math & Conversions,Geometry
concrete-footing-calculator,Concrete Footing Calculator,Construction & DIY,Materials Estimation
concrete-column-calculator,Concrete Column Calculator,Construction & DIY,Materials Estimation
block-wall-calculator,Concrete Block (CMU) Wall Calculator,Construction & DIY,Materials Estimation
gravel-calculator,Gravel Calculator,Construction & DIY,Materials Estimation
sand-calculator,Sand Calculator,Lifestyle & Everyday,Miscellaneous
topsoil-calculator,Topsoil Calculator,Lifestyle & Everyday,Miscellaneous
mulch-calculator,Mulch Calculator,Lifestyle & Everyday,Miscellaneous
asphalt-calculator,Asphalt Calculator,Construction & DIY,Materials Estimation
rebar-weight-calculator,Rebar Weight Calculator,Construction & DIY,Materials Estimation
rafter-calculator,Rafter Length Calculator,Construction & DIY,Project Layout & Design
roof-pitch-calculator,Roof Pitch Calculator,Construction & DIY,Project Layout & Design
stair-calculator,Stair Calculator,Lifestyle & Everyday,Miscellaneous
wall-framing-calculator,Wall Framing Calculator,Lifestyle & Everyday,Miscellaneous
decking-calculator,Decking Calculator,Lifestyle & Everyday,Miscellaneous
siding-calculator,Siding Calculator,Lifestyle & Everyday,Miscellaneous
drywall-calculator,Drywall Calculator,Construction & DIY,Materials Estimation
paint-calculator,Paint Calculator,Construction & DIY,Materials Estimation
flooring-calculator,Flooring Calculator,Construction & DIY,Materials Estimation
roofing-calculator,Roofing Calculator,Lifestyle & Everyday,Miscellaneous
board-foot-calculator,Board Foot Calculator,Math & Conversions,Measurement Unit Conversions
construction-cost-estimator,Construction Cost Estimator,Lifestyle & Everyday,Miscellaneous
cut-and-fill-calculator,Excavation (Cut and Fill) Calculator,Lifestyle & Everyday,Miscellaneous
r-value-calculator,Insulation R-Value Calculator,Construction & DIY,Materials Estimation
scale-conversion-calculator,Scale Conversion Calculator,Lifestyle & Everyday,Miscellaneous
aci-concrete-mix-design-calculator,ACI Concrete Mix Design Calculator (Absolute Volume Method),Math & Conversions,Geometry
water-cement-ratio-calculator,Concrete Water-Cement Ratio Calculator,Math & Conversions,Core Math & Algebra
concrete-strength-calculator,Concrete Compressive Strength Estimator,Health & Fitness,Fitness
aggregate-gradation-calculator,Concrete Aggregate Gradation Calculator,Construction & DIY,Materials Estimation
concrete-admixture-calculator,Concrete Admixture Dosage Calculator,Construction & DIY,Materials Estimation
molarity-calculator,Molarity Calculator,Lifestyle & Everyday,Miscellaneous
dilution-calculator,Solution Dilution Calculator,Lifestyle & Everyday,Miscellaneous
molecular-weight-calculator,Molecular Weight Calculator,Lifestyle & Everyday,Miscellaneous
ph-calculator,pH Calculator,Lifestyle & Everyday,Miscellaneous
ideal-gas-law-calculator,Ideal Gas Law Calculator,Lifestyle & Everyday,Miscellaneous
grams-to-moles-calculator,Grams to Moles Calculator,Lifestyle & Everyday,Miscellaneous
moles-to-grams-calculator,Moles to Grams Calculator,Lifestyle & Everyday,Miscellaneous
limiting-reactant-calculator,Limiting Reactant Calculator,Lifestyle & Everyday,Miscellaneous
percent-yield-calculator,Percent Yield Calculator,Math & Conversions,Core Math & Algebra
half-life-calculator,Half-Life Calculator,Lifestyle & Everyday,Miscellaneous
speed-distance-time-calculator,"Speed, Distance, Time Calculator",Lifestyle & Everyday,Time & Date
acceleration-calculator,Acceleration Calculator,Lifestyle & Everyday,Miscellaneous
force-calculator,Force Calculator,Lifestyle & Everyday,Miscellaneous
work-calculator,Work Calculator,Lifestyle & Everyday,Miscellaneous
power-calculator,Power Calculator,Math & Conversions,Core Math & Algebra
kinetic-energy-calculator,Kinetic Energy Calculator,Lifestyle & Everyday,Miscellaneous
potential-energy-calculator,Potential Energy Calculator,Lifestyle & Everyday,Miscellaneous
momentum-calculator,Momentum Calculator,Lifestyle & Everyday,Miscellaneous
density-calculator,Density Calculator,Lifestyle & Everyday,Miscellaneous
pressure-calculator,Pressure Calculator,Lifestyle & Everyday,Miscellaneous
punnett-square-calculator,Punnett Square Calculator,Math & Conversions,Geometry
hardy-weinberg-calculator,Hardy-Weinberg Equilibrium Calculator,Lifestyle & Everyday,Miscellaneous
cell-doubling-time-calculator,Cell Doubling Time Calculator,Lifestyle & Everyday,Time & Date
dna-concentration-calculator,DNA Concentration Calculator,Lifestyle & Everyday,Miscellaneous
allele-frequency-calculator,Allele Frequency Calculator,Lifestyle & Everyday,Miscellaneous
age-calculator,Age Calculator,Lifestyle & Everyday,Time & Date
date-duration-calculator,Date Duration Calculator,Lifestyle & Everyday,Time & Date
date-calculator,Add/Subtract Days from a Date Calculator,Lifestyle & Everyday,Time & Date
time-duration-calculator,Time Duration Calculator,Lifestyle & Everyday,Time & Date
time-zone-converter,Time Zone Converter,Math & Conversions,Measurement Unit Conversions
week-number-calculator,Week Number Calculator,Lifestyle & Everyday,Miscellaneous
birthday-calculator,Birthday Calculator,Lifestyle & Everyday,Miscellaneous
days-until-calculator,Days Until a Date Calculator,Lifestyle & Everyday,Time & Date
cooking-conversion-calculator,Cooking Measurement Converter,Math & Conversions,Measurement Unit Conversions
grams-to-cups-calculator,Grams to Cups Calculator,Lifestyle & Everyday,Miscellaneous
recipe-scaler-calculator,Recipe Multiplier / Scaler Calculator,Lifestyle & Everyday,Hobbies
