slug,file,status,forbidden,notes
international-fisher-effect,/home/uc/Projects/calcdomain2/sito_modificato/international-fisher-effect.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
katch-mcardle,/home/uc/Projects/calcdomain2/sito_modificato/katch-mcardle.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
length-contraction,/home/uc/Projects/calcdomain2/sito_modificato/length-contraction.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator"
lmtd,/home/uc/Projects/calcdomain2/sito_modificato/lmtd.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
lotka-volterra,/home/uc/Projects/calcdomain2/sito_modificato/lotka-volterra.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator"
lumpsum-calculator,/home/uc/Projects/calcdomain2/sito_modificato/lumpsum-calculator.html,WARN,"Investopedia","Injected audit spine into article ; Forbidden detected: Investopedia"
margin,/home/uc/Projects/calcdomain2/sito_modificato/margin.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
markup,/home/uc/Projects/calcdomain2/sito_modificato/markup.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
michaelis-menten,/home/uc/Projects/calcdomain2/sito_modificato/michaelis-menten.html,WARN,"OmniCalculator","Injected audit spine into article ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
mpg,/home/uc/Projects/calcdomain2/sito_modificato/mpg.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
natural-frequency,/home/uc/Projects/calcdomain2/sito_modificato/natural-frequency.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
on-base-percentage,/home/uc/Projects/calcdomain2/sito_modificato/on-base-percentage.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
options-greeks,/home/uc/Projects/calcdomain2/sito_modificato/options-greeks.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
overtime,/home/uc/Projects/calcdomain2/sito_modificato/overtime.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
perpetuity,/home/uc/Projects/calcdomain2/sito_modificato/perpetuity.html,WARN,"Investopedia","Injected audit spine into body ; Forbidden detected: Investopedia"
photoelectric-effect,/home/uc/Projects/calcdomain2/sito_modificato/photoelectric-effect.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
polygon-interior-angles,/home/uc/Projects/calcdomain2/sito_modificato/polygon-interior-angles.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
power-consumption,/home/uc/Projects/calcdomain2/sito_modificato/power-consumption.html,WARN,"Calculator.net","Injected audit spine into main ; Forbidden detected: Calculator.net"
power-to-weight-ratio,/home/uc/Projects/calcdomain2/sito_modificato/power-to-weight-ratio.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
pro-forma-income-statement,/home/uc/Projects/calcdomain2/sito_modificato/pro-forma-income-statement.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
profitability-index,/home/uc/Projects/calcdomain2/sito_modificato/profitability-index.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
project-roi,/home/uc/Projects/calcdomain2/sito_modificato/project-roi.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
quarter-mile-calculator,/home/uc/Projects/calcdomain2/sito_modificato/quarter-mile-calculator.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
race-time-predictor,/home/uc/Projects/calcdomain2/sito_modificato/race-time-predictor.html,WARN,"Calculator.net","Injected audit spine into body ; Forbidden detected: Calculator.net"
rectangular-prism-volume,/home/uc/Projects/calcdomain2/sito_modificato/rectangular-prism-volume.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
return-on-assets,/home/uc/Projects/calcdomain2/sito_modificato/return-on-assets.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
return-on-equity,/home/uc/Projects/calcdomain2/sito_modificato/return-on-equity.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator"
roas,/home/uc/Projects/calcdomain2/sito_modificato/roas.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
rsi,/home/uc/Projects/calcdomain2/sito_modificato/rsi.html,WARN,"Investopedia | OmniCalculator","Injected audit spine into main ; Forbidden detected: Investopedia | OmniCalculator"
self-directed-ira-real-estate,/home/uc/Projects/calcdomain2/sito_modificato/self-directed-ira-real-estate.html,WARN,"Investopedia","Injected audit spine into article ; Forbidden detected: Investopedia"
seo-roi,/home/uc/Projects/calcdomain2/sito_modificato/seo-roi.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
shaft-design,/home/uc/Projects/calcdomain2/sito_modificato/shaft-design.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
sharpe-ratio,/home/uc/Projects/calcdomain2/sito_modificato/sharpe-ratio.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
sip-calculator,/home/uc/Projects/calcdomain2/sito_modificato/sip-calculator.html,WARN,"Investopedia","Injected audit spine into article ; Forbidden detected: Investopedia"
snell-s-law-calculator,/home/uc/Projects/calcdomain2/sito_modificato/snell-s-law-calculator.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
sortino-ratio,/home/uc/Projects/calcdomain2/sito_modificato/sortino-ratio.html,WARN,"Investopedia | OmniCalculator","Injected audit spine into main ; Forbidden detected: Investopedia | OmniCalculator"
standard-atmosphere,/home/uc/Projects/calcdomain2/sito_modificato/standard-atmosphere.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator"
sustainable-growth-rate,/home/uc/Projects/calcdomain2/sito_modificato/sustainable-growth-rate.html,WARN,"OmniCalculator","Injected audit spine into article ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
swimming-pace,/home/uc/Projects/calcdomain2/sito_modificato/swimming-pace.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
taxable-vs-tax-advantaged,/home/uc/Projects/calcdomain2/sito_modificato/taxable-vs-tax-advantaged.html,WARN,"Investopedia","Injected audit spine into body ; Forbidden detected: Investopedia"
test-score,/home/uc/Projects/calcdomain2/sito_modificato/test-score.html,WARN,"OmniCalculator","Injected audit spine into article ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
tile,/home/uc/Projects/calcdomain2/sito_modificato/tile.html,WARN,"Calculator.net","Injected audit spine into main ; Forbidden detected: Calculator.net ; Missing sources (review needed)"
tipping,/home/uc/Projects/calcdomain2/sito_modificato/tipping.html,WARN,"Calculator.net","Injected audit spine into article ; Forbidden detected: Calculator.net"
unit-circle,/home/uc/Projects/calcdomain2/sito_modificato/unit-circle.html,WARN,"OmniCalculator","Injected audit spine into article ; Forbidden detected: OmniCalculator ; Missing sources (review needed)"
wacc,/home/uc/Projects/calcdomain2/sito_modificato/wacc.html,WARN,"Investopedia","Injected audit spine into main ; Forbidden detected: Investopedia"
war,/home/uc/Projects/calcdomain2/sito_modificato/war.html,WARN,"OmniCalculator","Injected audit spine into body ; Forbidden detected: OmniCalculator"
welded-connection,/home/uc/Projects/calcdomain2/sito_modificato/welded-connection.html,WARN,"OmniCalculator","Injected audit spine into main ; Forbidden detected: OmniCalculator"
when-will-i-be-a-millionaire,/home/uc/Projects/calcdomain2/sito_modificato/when-will-i-be-a-millionaire.html,WARN,"Investopedia","Injected audit spine into body ; Forbidden detected: Investopedia"
